"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","min0t50","avg15t50"
11,0.07,0.05,2,0.4,0.00182229335623,0.000453660256482,0.00185024644601
11,0.07,0.05,2,0.5,0.00138510797018,0.000134656451072,0.0013786111942
11,0.07,0.05,2,0.6,0.00101288013028,2.15901615962e-05,0.00101667350339
11,0.07,0.05,2,0.7,0.000695132774627,1.4470981352e-06,0.000876527035328
11,0.07,0.05,2,0.8,0.000422695156962,3.67633763682e-08,0.000559572293196
11,0.07,0.05,2,0.9,0.000188443391907,3.73390533194e-10,0.000281026994061
11,0.07,0.05,2,1,1.41376774429e-19,1.64158659471e-12,0.000155822053409
11,0.07,0.05,2,1.1,1.14987958032e-136,3.04241585458e-15,1.12098446888e-12
11,0.07,0.05,2,1.2,1.85432337797e-239,2.29003379448e-21,5.6673586943e-17
11,0.07,0.05,2,1.3,1.20403797891512e-320,7.47662750734e-29,2.38443259272e-18
11,0.07,0.05,2,1.4,3.67090774860046e-321,5.34320965294e-35,1.62777584972e-19
11,0.07,0.05,2,1.5,3.42387492567984e-321,4.0410962013e-40,1.59156161546e-20
11,0.07,0.05,2,1.6,2.39127772587163e-321,1.88573051115e-44,2.07011785045e-21
11,0.07,0.05,2,1.7,3.63138249693316e-321,3.63588736083e-48,3.39837716306e-22
11,0.07,0.05,2,1.8,1.17587623710217e-321,2.14553087175e-51,6.76272707747e-23
11,0.07,0.05,2,1.9,1.72922976044436e-321,3.09740800484e-54,1.58218365303e-23
11,0.07,0.05,2,2,2.83099615067034e-321,9.23759752332e-57,4.24774044293e-24
11,0.07,0.05,2,2.1,4.12544814277441e-321,4.99022377118e-59,1.28190628567e-24
11,0.07,0.05,2,2.2,3.42387492567984e-321,4.42911244636e-61,4.28352052806e-25
11,0.07,0.05,2,2.3,4.07110092173187e-321,5.96925547367e-63,1.56326380665e-25
11,0.07,0.05,2,2.4,4.07604157819028e-321,1.14985931968e-64,6.1652278256e-26
11,0.07,0.05,2,2.5,3.9624064796468e-321,3.01425994623e-66,2.60362283826e-26
11,0.07,0.05,2,2.6,2.91992796692177e-321,1.03554481937e-67,1.16899143908e-26
11,0.07,0.05,2,2.7,2.94957190567224e-321,4.50444241275e-69,5.53962175422e-27
11,0.07,0.05,2,2.8,3.4881034596392e-321,2.41673706564e-70,2.7557324564e-27
11,0.07,0.05,2,2.9,3.59185724526586e-321,1.56471415724e-71,1.43234159609e-27
11,0.07,0.05,2,3,3.63632315339157e-321,1.19931083389e-72,7.7466149401e-28
12,0.07,0.05,2,0,0.00448322494605,0.00448322494605,0.00448386188238
12,0.07,0.05,2,0.1,0.00374733838047,0.00319629273349,0.00375011193267
12,0.07,0.05,2,0.2,0.00308119555688,0.00208867077351,0.00308227676654
12,0.07,0.05,2,0.3,0.00249153517878,0.00119744962489,0.00248576915356
12,0.07,0.05,2,0.4,0.0019797443362,0.000560209730019,0.00199999968045
12,0.07,0.05,2,0.5,0.00154165397187,0.000188683141985,0.00155396525959
12,0.07,0.05,2,0.6,0.00116921098905,3.71575256633e-05,0.00113633962857
12,0.07,0.05,2,0.7,0.000852950382998,3.35612508726e-06,0.00102307452229
12,0.07,0.05,2,0.8,0.00058398985238,1.24636377868e-07,0.000723767897614
12,0.07,0.05,2,0.9,0.000354978908836,2.04180064625e-09,0.000500265983507
12,0.07,0.05,2,1,0.00016006852155,1.70114416379e-11,0.000260648123452
12,0.07,0.05,2,1.1,3.49030927477e-13,8.19391531018e-14,0.000129320532192
12,0.07,0.05,2,1.2,2.86791748692e-110,2.39224111375e-16,1.06731587558e-12
12,0.07,0.05,2,1.3,4.73714547416e-197,4.7068996988e-20,6.91473210267e-18
12,0.07,0.05,2,1.4,9.5231945651e-267,9.07932498778e-27,3.37571363626e-19
12,0.07,0.05,2,1.5,6.67482687531524e-321,2.24086040567e-32,2.62247139275e-20
12,0.07,0.05,2,1.6,5.74104280467528e-321,3.96597770729e-37,2.80760290074e-21
12,0.07,0.05,2,1.7,5.58294179800609e-321,3.26918496702e-41,3.88902262433e-22
12,0.07,0.05,2,1.8,1.19069820647740e-321,9.08701989147e-45,6.65822754882e-23
12,0.07,0.05,2,1.9,2.21341409336878e-321,6.68586088257e-48,1.36140223017e-23
12,0.07,0.05,2,2,5.59282311092291e-321,1.08356603511e-50,3.23488704496e-24
12,0.07,0.05,2,2.1,5.33096831862705e-321,3.36268322208e-53,8.74060030761e-25
12,0.07,0.05,2,2.2,4.63433575799089e-321,1.79367286564e-55,2.6387215595e-25
12,0.07,0.05,2,2.3,3.03850372192367e-321,1.511465334e-57,8.77267000859e-26
12,0.07,0.05,2,2.4,5.23709584591721e-321,1.88192327373e-59,3.17321200482e-26
